Connecting to host 192.168.2.5, port 5201
[  5] local 192.168.2.4 port 60192 connected to 192.168.2.5 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  1.48 MBytes  12.4 Mbits/sec  1072  
[  5]   1.00-2.00   sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]   2.00-3.00   sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]   3.00-4.00   sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]   4.00-5.00   sec  1.44 MBytes  12.0 Mbits/sec  1040  
[  5]   5.00-6.00   sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]   6.00-7.00   sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]   7.00-8.00   sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]   8.00-9.00   sec  1011 KBytes  8.28 Mbits/sec  715  
[  5]   9.00-10.00  sec  1011 KBytes  8.29 Mbits/sec  715  
[  5]  10.00-11.00  sec  1017 KBytes  8.33 Mbits/sec  719  
[  5]  11.00-12.00  sec  1.07 MBytes  8.99 Mbits/sec  776  
[  5]  12.00-13.00  sec  1.18 MBytes  9.94 Mbits/sec  858  
[  5]  13.00-14.00  sec  1.15 MBytes  9.66 Mbits/sec  834  
[  5]  14.00-15.00  sec  1.29 MBytes  10.8 Mbits/sec  934  
[  5]  15.00-16.00  sec  1.35 MBytes  11.3 Mbits/sec  975  
[  5]  16.00-17.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  17.00-18.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  18.00-19.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  19.00-20.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  20.00-21.00  sec  1.13 MBytes  9.49 Mbits/sec  819  
[  5]  21.00-22.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  22.00-23.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  23.00-24.00  sec  1.01 MBytes  8.43 Mbits/sec  728  
[  5]  24.00-25.00  sec  1.20 MBytes  10.1 Mbits/sec  871  
[  5]  25.00-26.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  26.00-27.00  sec  1011 KBytes  8.28 Mbits/sec  715  
[  5]  27.00-28.00  sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]  28.00-29.00  sec  1.08 MBytes  9.03 Mbits/sec  780  
[  5]  29.00-30.00  sec  1.04 MBytes  8.74 Mbits/sec  754  
[  5]  30.00-31.00  sec  1.15 MBytes  9.64 Mbits/sec  832  
[  5]  31.00-32.00  sec  1011 KBytes  8.28 Mbits/sec  715  
[  5]  32.00-33.00  sec  1.17 MBytes  9.79 Mbits/sec  845  
[  5]  33.00-34.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  34.00-35.00  sec  1.22 MBytes  10.2 Mbits/sec  884  
[  5]  35.00-36.00  sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]  36.00-37.00  sec  1.18 MBytes  9.94 Mbits/sec  858  
[  5]  37.00-38.00  sec  1.26 MBytes  10.5 Mbits/sec  910  
[  5]  38.00-39.00  sec  1.24 MBytes  10.4 Mbits/sec  897  
[  5]  39.00-40.00  sec  1.24 MBytes  10.4 Mbits/sec  897  
[  5]  40.00-41.00  sec  1.01 MBytes  8.43 Mbits/sec  728  
[  5]  41.00-42.00  sec  1.18 MBytes  9.94 Mbits/sec  858  
[  5]  42.00-43.00  sec  1.15 MBytes  9.64 Mbits/sec  832  
[  5]  43.00-44.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  44.00-45.00  sec  1.06 MBytes  8.89 Mbits/sec  767  
[  5]  45.00-46.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  46.00-47.00  sec  1.18 MBytes  9.94 Mbits/sec  858  
[  5]  47.00-48.00  sec   994 KBytes  8.14 Mbits/sec  703  
[  5]  48.00-49.00  sec  1010 KBytes  8.27 Mbits/sec  714  
[  5]  49.00-50.00  sec  1.06 MBytes  8.89 Mbits/sec  767  
[  5]  50.00-51.00  sec   974 KBytes  7.98 Mbits/sec  689  
[  5]  51.00-52.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  52.00-53.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  53.00-54.00  sec  1011 KBytes  8.28 Mbits/sec  715  
[  5]  54.00-55.00  sec  1.08 MBytes  9.04 Mbits/sec  780  
[  5]  55.00-56.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  56.00-57.00  sec  1.06 MBytes  8.91 Mbits/sec  769  
[  5]  57.00-58.00  sec  1.06 MBytes  8.86 Mbits/sec  765  
[  5]  58.00-59.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  59.00-59.39  sec   313 KBytes  6.62 Mbits/sec  221  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-59.39  sec  65.4 MBytes  9.24 Mbits/sec  0.000 ms  0/47352 (0%)  sender
[  5]   0.00-59.39  sec  0.00 Bytes  0.00 bits/sec  0.000 ms  0/0 (0%)  receiver
